API,Unnamed: 1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,            Motor gasoline (Mb/d),,,,,,,4.7,4.9,5,4.9,4.5,1.9,2,1.4,0.9,1,1.7,1.7,1.7,0.6,0.839016393442623,0.817945205479452,0.490767123287671,0.140219178082192,0,0.327178082191781,0,0,0,0,0,0,0,0,0,,,
Albania,            Jet fuel (Mb/d),,,,,,,0,0,0,0,0,0,0,0.1,0.3,0.3,0.3,0,0,0,0.173333333333333,0.195534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,            Kerosene (Mb/d),,,,,,,1.7,1.5,1.6,1.5,1,0.2,0.7,1.1,0.6,0.6,1.5,1.2,1.2,1.6,0.21120218579235,0.190602739726027,0.0211780821917808,0.0211780821917808,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,            Distillate fuel oil (Mb/d),,,,,,,9,6.7,6.6,6.5,5.1,2.5,6.6,2.3,2.3,2.2,2,2.2,2.2,1.3,1.32605091803279,1.30920390136986,1.7386413369863,1.9430482630137,1.91768046448087,1.47304940273973,2.02490298082192,1.67755958356164,1.71327768852459,1.14583900273973,0.429766043835616,1.73837098082192,0.408052442622951,0.000140449315068493,1.82028412054795,,,
Albania,            Residual fuel oil (Mb/d),,,,,,,14,13,12,11,8.8,5.5,5.5,4.2,3,3,0.8,0.8,0.8,1.4,0.860836,0.842197216438356,1.55087618630137,1.16924015342466,1.51494344262295,1.3389592109589,0.97521317260274,0.690439364383562,0.621573344262295,0.304168701369863,0.109983550684932,0.237525830136986,0.172116950819672,0.00926965479452055,0.120340997260274,,,
Albania,            Liquefied Petroleum Gases (Mb/d),,,,,,,0.3,0.2,0.1,0.1,0.084,0.02538,0.02626,0.02158,0.01491,0.0139,0.01284,0.01172,0.00987,0.00809959452054794,0.0400066994535519,0.0398245698630137,0.00966744109589041,0.00983099178082192,0.012069262295082,0.0104143123287671,0.0105400438356164,0.0113006465753425,0.0080257868852459,0.00903740273972603,0.00392395068493151,0.00777494794520548,0.00281518579234973,0.000983145205479452,0.00889295342465753,,,
Albania,            Other petroleum liquids (Mb/d),,,,,,,29,28,18,23,11,8.8,4.6,7,3.9,3.2,3.2,2.8,1.4,1.1,2.72471075409836,2.5800477369863,3.37039750136986,4.01950579726027,5.52104453551913,4.58674529315068,4.81909065205479,6.01546643287671,3.61913629508197,5.25445407123288,2.37126124931507,3.79200385753425,1.50829629508197,0.719943189041096,4.65667590136986,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,        Refined petroleum products (Mb/d),,,,,,,438,439,455,461,475,491,464,457,460,473,459,471,447,475,440.259875409836,457.942886575343,442.3515769863,454.263053150685,397.833728961748,390.903061917808,403.708966575343,410.769424657534,469.524139890711,490.162343013698,579.32576,532.701726027398,484.527260273973,505.885726027398,657.554849315068,,,
Algeria,            Motor gasoline (Mb/d),,,,,,,40,43,44,43,48,52,53,58,61,60,55,47,48,56,49.0824590163934,47.6511506849315,45.3141643835616,44.2391506849315,43.6521584699453,50.4321643835616,54.2180821917808,49.0767123287671,64.7907103825137,56.4849589041096,62.3274246575342,60.0138082191781,53.119698630137,53.7506849315068,70.2731780821918,,,
Algeria,            Jet fuel (Mb/d),,,,,,,11,12,12,11,12,6.5,9.8,7.6,20,17,16,16,21,29,34.6233333333333,31.5461917808219,30.2643561643836,28.5697260273973,21.4716666666667,23.3989315068493,18.5757534246575,22.4647123287671,21.4066666666667,21.0525205479452,30.6119726027397,26.2667671232877,26.1581369863014,37.2166849315068,43.4737808219178,,,
Algeria,            Kerosene (Mb/d),,,,,,,2.8,3,3.1,2.3,2.8,2.1,2.3,2.7,4.2,5.3,6.3,10,6.7,0.2,0.190081967213115,0.190602739726027,0.190602739726027,0.25413698630137,0.232322404371585,0.232958904109589,0.190602739726027,0.127068493150685,0.0422404371584699,0.0211780821917808,0,0,0,0,0,,,
Algeria,            Distillate fuel oil (Mb/d),,,,,,,141,149,152,153,145,160,157,144,141,137,131,135,127,132,122.542807437158,131.731517994521,123.614492268493,126.519029512329,117.072134901639,115.899338049315,122.666896613699,130.560219178082,150.982041737705,154.056398975342,159.653217019178,154.779671232877,140.350191780822,143.926904109589,184.49704109589,,,
Algeria,            Residual fuel oil (Mb/d),,,,,,,111,111,113,116,110,116,112,114,104,109,112,114,100,110,106.142995770492,110.821393117808,112.04673629589,116.942030005479,106.205001868852,95.3185030356164,102.560710750685,100.684602739726,115.303443213115,108.055428263014,112.252542443836,106.70597260274,93.3312328767123,97.7651506849315,120.317917808219,,,
Algeria,            Liquefied Petroleum Gases (Mb/d),,,,,,,23,21,22,23,29,30,29,30,27,23,17,18,39,48,17.865881568306,18.6997492493151,15.2146513589041,19.9342476821918,18.6962011420765,18.0692293589041,16.2749612273973,17.6701369863014,16.9861500874317,17.2494229643836,18.8631492712329,16.4306849315069,14.9369863013699,18.9731506849315,25.5517808219178,,,
Algeria,            Other petroleum liquids (Mb/d),,,,,,,109,101,109,112,129,126,102,101,104,121,121,130,106,101,109.81231631694,117.302281008219,115.706573775342,117.804732252055,90.5042435081967,87.5519366794521,89.2219596273973,90.1859726027397,100.01288736612,133.242435276712,195.617454005479,168.504821917808,156.63101369863,154.253150684932,213.441150684932,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Motor gasoline (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Jet fuel (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Kerosene (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Liquefied Petroleum Gases (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
American Samoa,            Other petroleum liquids (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,        Refined petroleum products (Mb/d),,,,,,,27,26,27,27,28,28,28,28,27,29,27,37,36,44,38.711556284153,39.5867309589042,41.2991693150685,36.2957435616438,38.4034491803279,38.1797676712329,37.9874104109588,39.516295890411,38.5292153005464,38.6911342465754,39.0449906849316,40.0345863013698,41.0792612021858,46.0515134246576,46.6771090410958,,,
Angola,            Motor gasoline (Mb/d),,,,,,,2.3,2.5,2.3,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2.6,2.3,2.4,3.7,2.58696721311475,2.50057534246575,2.45383561643836,2.24350684931507,2.21407103825137,3.13156164383562,1.96306849315069,1.30871232876712,1.5848087431694,0.981534246575342,1.30871232876712,1.47230136986301,1.70133879781421,1.61252054794521,0.630986301369863,,,
Angola,            Jet fuel (Mb/d),,,,,,,3.3,3.2,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.5,4.5,6.2,7.5,6.955,7.19131506849315,7.6041095890411,7.06095890410959,6.54333333333333,6.30054794520548,6.80024657534246,7.62583561643836,7.04166666666667,7.73446575342466,6.58298630136986,5.82257534246575,6.565,7.36512328767123,8.53832876712329,,,
Angola,            Kerosene (Mb/d),,,,,,,0.8,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,0.5,0.6,0.7,0.612486338797814,0.635342465753425,0.656520547945206,0.931835616438356,0.865928961748634,0.656520547945206,0.105890410958904,0.0211780821917808,0.021120218579235,0,0,1.546,1.60513661202186,1.88484931506849,1.46128767123288,,,
Angola,            Distillate fuel oil (Mb/d),,,,,,,6.4,6.3,6.4,6.5,6.6,6.6,6.7,6.6,6.5,6.4,6.5,9.9,9.7,12,11.3808871530055,13.1085991342466,13.6812024219178,8.34582926575342,10.0559645136612,9.42942445479452,9.85859294246575,10.492476,10.7489941639344,10.410563890411,10.2266867342466,10.5947674520548,10.7494845573771,11.5360889369863,10.8821818465753,,,
Angola,            Residual fuel oil (Mb/d),,,,,,,12,12,12,12,12,12,12,12,12,14,12,13,12,14,11.3183881639344,10.5928031342466,11.3079077917808,13.5434712657534,13.4616906885246,13.6586167561644,12.7438465315068,13.1646762739726,12.862795147541,12.7345318356164,12.9032422684932,13.7733915616438,13.9323742295082,15.4554588821918,17.3975361205479,,,
Angola,            Liquefied Petroleum Gases (Mb/d),,,,,,,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,1.2,1,0.9,1.00293138251366,1.03849530958904,1.29504709041096,1.00228431232877,0.939128644808743,0.814135567123288,0.909219090410959,0.94305802739726,0.875909967213115,0.846604767123288,1.06954686575342,1.00731736986301,0.815954743169399,1.1743211890411,1.04804004931507,,,
Angola,            Other petroleum liquids (Mb/d),,,,,,,0.9,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,5,4,4.9,4.85489603278689,4.51960050410959,4.30054625753425,3.16785734794521,4.323332,4.18896075616438,5.60654636712329,5.96035956164384,5.39392039344262,5.98343375342466,6.95381618630137,5.81823320547945,5.70997226229508,7.02315126575343,6.71874828493151,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Motor gasoline (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Jet fuel (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Kerosene (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Liquefied Petroleum Gases (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antarctica,            Other petroleum liquids (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Motor gasoline (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Jet fuel (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Kerosene (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Liquefied Petroleum Gases (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Antigua and Barbuda,            Other petroleum liquids (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,        Refined petroleum products (Mb/d),,,,,,,454,452,456,451,456,472,491,524,495,478,510,557,570,573,600.160500546448,637.510198356164,593.280337534247,616.872865753425,626.548681967213,626.508593972603,649.680135890411,692.413650410959,654.548096174863,617.784076712329,638.341343561644,637.25378849315,678.667315846994,648.034200547946,660.547566027397,,,
Argentina,            Motor gasoline (Mb/d),,,,,,,110,103,106,110,117,112,111,139,142,123,154,173,126,123,125.386338797814,124.210821917808,114.138410958904,108.319315068493,102.965956284153,104.954054794521,102.126301369863,103.43501369863,101.264617486339,104.977424657534,106.566575342466,117.854219178082,124.966830601093,129.305452054795,122.551561643836,,,
Argentina,            Jet fuel (Mb/d),,,,,,,15,16,16,15,15,14,15,18,21,21,27,26,31,34,33.5183333333333,29.5256712328767,28.3524657534247,24.6590410958904,26.195,27.461698630137,25.875698630137,27.8744931506849,26.8666666666667,28.0700273972603,28.5914520547945,27.7006849315068,29.12,29.7863835616438,28.8304383561644,,,
Argentina,            Kerosene (Mb/d),,,,,,,8.9,6.8,7.6,9.2,10,9.2,8.3,7.6,7.3,6.8,4.2,3.4,4.2,4.2,1.77409836065574,1.52482191780822,0.804767123287671,0.592986301369863,0.612486338797814,0.50827397260274,0.487095890410959,0.444739726027397,0.16896174863388,0.232958904109589,0.931835616438356,0.76241095890411,0.4224043715847,0.444739726027397,0.338849315068493,,,
Argentina,            Distillate fuel oil (Mb/d),,,,,,,152,148,154,154,161,171,187,194,180,172,191,212,220,223,212.48082531694,212.231858389041,194.544174564384,207.424875972603,209.938085759563,203.400372832877,218.50877410411,224.341923594521,216.567787202186,208.814859424658,207.510757950685,204.99663099726,202.549256114754,164.449005523288,172.626754405479,,,
Argentina,            Residual fuel oil (Mb/d),,,,,,,108,100,99,94,85,77,81,68,56,49,42,38,52,54,46.5220119016393,51.1716399780822,40.4286719342466,43.3373758356164,51.0421847213115,58.9510179287671,70.6857210082192,86.6464640876712,94.0870700983607,66.5768316164384,74.7567644712329,69.2324951342466,80.5454937377049,86.8495426191781,92.628311309589,,,
Argentina,            Liquefied Petroleum Gases (Mb/d),,,,,,,1.2,14,18,17,19,22,27,25,28,29,29,26,32,33,35.3226624644809,36.5162689972603,34.2638520876712,37.0923235890411,35.3898790054645,32.6877605150685,32.6553913315068,31.2509994082192,29.5958765355191,28.6080707671233,24.8220453808219,25.7740060219178,32.5124977213115,29.2208468821918,39.3439931671233,,,
Argentina,            Other petroleum liquids (Mb/d),,,,,,,59,64,56,52,49,68,62,72,60,78,62,79,106,102,145.156230371585,182.329115923288,180.747995112329,195.446947890411,200.405089857923,198.54541529863,199.341153556164,218.420016745205,185.997116437158,180.503903945205,195.161912745205,190.933341271233,208.550833300546,207.978230180822,204.227657830137,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,        Refined petroleum products (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Motor gasoline (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Jet fuel (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Kerosene (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Distillate fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Residual fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Liquefied Petroleum Gases (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Armenia,            Other petroleum liquids (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,8.3,7.7,6.2,6.2,0,0,0,0,0,0,232.24043715847,232.876712328767,232.876712328767,232.876712328767,232.24043715847,232.876712328767,232.876712328767,235.205479452055,233.401639344262,234.227397260274,234.43698630137,235.205479452055,56.6666666666667,0,0,,,
Aruba,            Motor gasoline (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aruba,            Jet fuel (Mb/d),,,,,,,0,0,0,0,0,1.7,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aruba,            Kerosene (Mb/d),,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aruba,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,2,1.6,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aruba,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,2.1,1,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aruba,            Liquefied Petroleum Gases (Mb/d),,,,,,,0,0,0,0,0.0112,0.0103,0.00833,0.00833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Aruba,            Other petroleum liquids (Mb/d),,,,,,,0,0,0,0,2.2,3.3,1.9,1.9,0,0,0,0,0,0,232.24043715847,232.876712328767,232.876712328767,232.876712328767,232.24043715847,232.876712328767,232.876712328767,235.205479452055,233.401639344262,234.227397260274,234.43698630137,235.205479452055,56.6666666666667,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,        Refined petroleum products (Mb/d),613,589,614,598,602,604,577,606,630,639,661,684,681,717,723.095890410959,751.153424657534,764.803278688524,794.780821917808,776.95890410959,807.660273972602,784.70218579235,788.906849315069,774.027397260274,738.594520547945,726.289617486339,696.178082191781,652.572602739726,706.235616438356,687.718579234972,674.726027397261,676,684.416438356165,659.724043715847,630.556164383562,607.128767123288,,,
Australia,            Motor gasoline (Mb/d),253,248,261,257,263,269,263,268,273,275,282,289,295,307,307.98904109589,308.835616438356,312,316.476712328767,313.950684931507,330.427397260274,308.852459016393,308.646575342466,311.542465753425,302.054794520548,309.48087431694,293.66301369863,293.016438356164,305.421917808219,282.53825136612,293.87397260274,289,278.356164383562,263.054644808743,255.852054794521,240.778082191781,,,
Australia,            Jet fuel (Mb/d),38,39,42,41,45,44,47,50,56,57,60,64,68,74,74.2602739726027,81.0602739726027,86.9262295081967,93.5342465753425,91.4684931506849,92.3342465753425,97.3688524590164,99.4849315068493,90.3150684931507,84.013698630137,90.9344262295082,90.9013698630137,90.6657534246575,89.7479452054795,92.0191256830601,94.0958904109589,92,95.6657534246575,96.1830601092896,91.3561643835616,82.1698630136986,,,
